City/Town,Count,Rate
Abington,54.0,300.65
Acton,35.0,147.48
Acushnet,16.0,153.06
Adams,25.0,301.91
Agawam,168.0,587.32
Alford,0.0,0.0
Amesbury,23.0,138.18
Amherst,11.0,27.16
Andover,51.0,141.61
Aquinnah,0.0,0.0
Arlington,94.0,205.2
Ashburnham,7.0,111.47
Ashby,7.0,202.46
Ashfield,,
Ashland,63.0,323.2
Athol,28.0,234.01
Attleboro,210.0,453.88
Auburn,34.0,206.16
Avon,24.0,547.86
Ayer,27.0,334.16
Barnstable,94.0,209.61
Barre,12.0,215.91
Becket,10.0,555.42
Bedford,81.0,543.76
Belchertown,25.0,157.01
Bellingham,33.0,184.6
Belmont,118.0,432.14
Berkley,17.0,250.73
Berlin,8.0,250.53
Bernardston,,
Beverly,150.0,364.37
Billerica,134.0,307.46
Blackstone,19.0,210.08
Blandford,,
Bolton,,
Boston,4609.0,663.2
Bourne,83.0,396.75
Boxborough,7.0,137.05
Boxford,15.0,194.37
Boylston,9.0,200.5
Braintree,308.0,782.53
Brewster,16.0,161.42
Bridgewater,103.0,362.08
Brimfield,,
Brockton,1202.0,1223.43
Brookfield,5.0,136.55
Brookline,144.0,223.66
Buckland,,
Burlington,91.0,329.19
Cambridge,471.0,417.61
Canton,113.0,489.93
Carlisle,5.0,104.85
Carver,18.0,147.83
Charlemont,0.0,0.0
Charlton,15.0,106.59
Chatham,6.0,102.46
Chelmsford,113.0,314.05
Chelsea,712.0,1890.37
Cheshire,,
Chester,,
Chesterfield,0.0,0.0
Chicopee,142.0,249.06
Chilmark,0.0,0.0
Clarksburg,6.0,356.42
Clinton,33.0,234.45
Cohasset,14.0,189.2
Colrain,,
Concord,23.0,122.83
Conway,,
Cummington,,
Dalton,6.0,91.99
Danvers,190.0,665.36
Dartmouth,64.0,173.82
Dedham,125.0,460.83
Deerfield,,
Dennis,26.0,196.62
Dighton,13.0,165.69
Douglas,18.0,191.5
Dover,14.0,268.65
Dracut,136.0,420.98
Dudley,19.0,153.43
Dunstable,,
Duxbury,25.0,165.2
East Bridgewater,87.0,589.58
East Brookfield,,
East Longmeadow,55.0,325.16
Eastham,6.0,129.13
Easthampton,26.0,160.36
Easton,113.0,476.83
Edgartown,,
Egremont,,
Erving,,
Essex,8.0,215.01
Everett,444.0,914.78
Fairhaven,37.0,230.81
Fall River,150.0,167.7
Falmouth,96.0,307.19
Fitchburg,97.0,230.12
Florida,,
Foxborough,43.0,237.4
Framingham,263.0,353.18
Franklin,37.0,109.43
Freetown,22.0,243.14
Gardner,61.0,305.15
Georgetown,18.0,201.48
Gill,,
Gloucester,65.0,227.07
Goshen,,
Gosnold,0.0,0.0
Grafton,33.0,165.46
Granby,12.0,195.39
Granville,6.0,385.53
Great Barrington,30.0,441.45
Greenfield,94.0,541.34
Groton,15.0,128.81
Groveland,6.0,87.8
Hadley,15.0,260.85
Halifax,20.0,261.73
Hamilton,11.0,147.18
Hampden,12.0,242.88
Hancock,,
Hanover,33.0,230.37
Hanson,24.0,224.16
Hardwick,,
Harvard,11.0,158.79
Harwich,29.0,230.84
Hatfield,,
Haverhill,217.0,329.56
Heath,0.0,0.0
Hawley,0.0,0.0
Hingham,49.0,205.99
Hinsdale,,
Holbrook,64.0,566.62
Holden,30.0,159.06
Holland,5.0,195.29
Holliston,18.0,130.58
Holyoke,305.0,740.21
Hopedale,7.0,123.26
Hopkinton,21.0,128.72
Hubbardston,,
Hudson,49.0,233.93
Hull,14.0,141.75
Huntington,5.0,226.1
Ipswich,23.0,171.04
Kingston,24.0,176.95
Lakeville,21.0,185.99
Lancaster,11.0,128.39
Lanesborough,,
Lawrence,814.0,923.15
Lee,10.0,170.07
Leicester,14.0,124.29
Lenox,10.0,204.98
Leominster,84.0,206.94
Leverett,,
Lexington,149.0,437.65
Leyden,0.0,0.0
Lincoln,16.0,184.91
Littleton,69.0,710.01
Longmeadow,128.0,825.29
Lowell,598.0,511.73
Ludlow,28.0,134.2
Lunenburg,21.0,201.79
Lynn,745.0,738.33
Lynnfield,44.0,377.71
Malden,379.0,559.38
Manchester,9.0,181.95
Mansfield,60.0,253.85
Marblehead,52.0,270.59
Marion,,
Marlborough,177.0,407.47
Marshfield,67.0,259.09
Mashpee,28.0,182.08
Mattapoisett,8.0,138.37
Maynard,20.0,191.67
Medfield,16.0,140.35
Medford,350.0,575.52
Medway,27.0,206.42
Melrose,86.0,297.35
Mendon,9.0,155.36
Merrimac,,
Methuen,273.0,509.79
Middleborough,51.0,189.44
Middlefield,0.0,0.0
Middleton,64.0,620.2
Milford,71.0,242.29
Millbury,60.0,439.33
Millis,18.0,227.97
Millville,,
Milton,112.0,391.2
Monroe,0.0,0.0
Monson,10.0,118.55
Montague,10.0,116.98
Monterey,0.0,0.0
Montgomery,,
Mount Washington,0.0,0.0
Nahant,24.0,733.51
Nantucket,9.0,79.37
Natick,114.0,317.35
Needham,114.0,388.92
New Ashford,0.0,0.0
New Bedford,165.0,165.74
New Braintree,,
New Marlborough,,
New Salem,0.0,0.0
Newbury,,
Newburyport,30.0,168.5
Newton,337.0,367.39
Norfolk,14.0,113.4
North Adams,29.0,222.1
North Andover,88.0,290.92
North Attleborough,71.0,234.98
North Brookfield,,
North Reading,46.0,278.2
Northampton,59.0,201.84
Northborough,48.0,350.6
Northbridge,76.0,422.59
Northfield,,
Norton,47.0,236.62
Norwell,30.0,280.25
Norwood,229.0,760.49
Oak Bluffs,,
Oakham,,
Orange,23.0,281.77
Orleans,9.0,159.35
Otis,,
Oxford,15.0,108.83
Palmer,12.0,100.89
Paxton,8.0,161.64
Peabody,227.0,407.06
Pelham,,
Pembroke,30.0,160.66
Pepperell,15.0,122.14
Peru,,
Petersham,,
Phillipston,7.0,408.35
Pittsfield,111.0,250.69
Plainfield,0.0,0.0
Plainville,22.0,241.13
Plymouth,108.0,174.09
Plympton,,
Princeton,,
Provincetown,18.0,686.01
Quincy,369.0,364.84
Randolph,367.0,1072.5
Raynham,84.0,562.36
Reading,78.0,283.8
Rehoboth,19.0,150.6
Revere,470.0,771.55
Richmond,5.0,376.53
Rochester,7.0,124.17
Rockland,64.0,354.84
Rockport,15.0,228.86
Rowe,0.0,0.0
Rowley,10.0,161.98
Royalston,,
Russell,7.0,370.95
Rutland,16.0,177.6
Salem,181.0,402.06
Salisbury,12.0,135.74
Sandisfield,,
Sandwich,50.0,237.7
Saugus,137.0,481.96
Savoy,,
Scituate,49.0,270.4
Seekonk,26.0,185.68
Sharon,57.0,311.29
Sheffield,9.0,291.54
Shelburne,6.0,324.45
Sherborn,,
Shirley,15.0,177.96
Shrewsbury,98.0,248.74
Shutesbury,,
Somerset,34.0,183.71
Somerville,280.0,365.83
South Hadley,38.0,209.95
Southampton,19.0,316.37
Southborough,21.0,215.99
Southbridge,31.0,184.05
Southwick,16.0,163.38
Spencer,8.0,69.44
Springfield,542.0,342.32
Sterling,14.0,177.82
Stockbridge,6.0,344.13
Stoneham,129.0,578.37
Stoughton,194.0,701.44
Stow,7.0,97.09
Sturbridge,17.0,162.8
Sudbury,34.0,189.9
Sunderland,5.0,131.53
Sutton,18.0,200.34
Swampscott,60.0,437.74
Swansea,27.0,169.07
Taunton,247.0,431.22
Templeton,34.0,380.7
Tewksbury,129.0,418.96
Tisbury,,
Tolland,0.0,0.0
Topsfield,16.0,273.79
Townsend,11.0,120.23
Truro,8.0,405.1
Tyngsborough,40.0,333.59
Tyringham,,
Upton,11.0,121.67
Uxbridge,20.0,129.76
Wakefield,119.0,440.66
Wales,,
Walpole,92.0,355.2
Waltham,298.0,447.05
Ware,10.0,98.63
Wareham,34.0,141.96
Warren,,
Warwick,0.0,0.0
Washington,,
Watertown,110.0,331.6
Wayland,26.0,195.75
Webster,35.0,203.59
Wellesley,75.0,252.23
Wellfleet,,
Wendell,0.0,0.0
Wenham,7.0,134.46
West Boylston,17.0,216.56
West Bridgewater,26.0,358.74
West Brookfield,5.0,134.79
West Newbury,,
West Springfield,110.0,373.42
West Stockbridge,,
West Tisbury,5.0,173.43
Westborough,72.0,382.12
Westfield,202.0,485.83
Westford,50.0,216.08
Westhampton,,
Westminster,10.0,136.39
Weston,56.0,504.79
Westport,13.0,78.11
Westwood,48.0,325.66
Weymouth,267.0,476.25
Whately,,
Whitman,52.0,337.23
Wilbraham,42.0,288.81
Williamsburg,5.0,202.69
Williamstown,74.0,1004.24
Wilmington,140.0,574.4
Winchendon,32.0,297.77
Winchester,37.0,165.74
Windsor,0.0,0.0
Winthrop,81.0,429.77
Woburn,117.0,281.99
Worcester,886.0,461.77
Worthington,0.0,0.0
Wrentham,29.0,257.22
Yarmouth,42.0,174.83
Unknown1,506.0,
